speciesID	GBIF	species
290310067	urn:lsid:faunaeur.org:taxname:55833	Periphyllus californiensis
290307165	urn:lsid:faunaeur.org:taxname:452105	Lygus gemellatus
290310090	urn:lsid:faunaeur.org:taxname:55495	Macrosiphoniella persequens
290307817	urn:lsid:faunaeur.org:taxname:54351	Acyrthosiphon pisum
290310083	urn:lsid:faunaeur.org:taxname:55067	Cryptomyzus galeopsidis
290307766	urn:lsid:faunaeur.org:taxname:55584	Metopolophium festucae
290310133	urn:lsid:faunaeur.org:taxname:55518	Macrosiphum gei
290307369	urn:lsid:faunaeur.org:taxname:194724	Enantiocephalus cornutus
290307595	urn:lsid:faunaeur.org:taxname:452254	Adelphocoris lineolatus
290308546	urn:lsid:faunaeur.org:taxname:451530	Amblytylus nasutus
290309249	urn:lsid:faunaeur.org:taxname:55419	Lipaphis erysimi
290311105	urn:lsid:faunaeur.org:taxname:302046	Peromyia borealis
290310444	urn:lsid:faunaeur.org:taxname:453928	Eurygaster integriceps
290308082	urn:lsid:faunaeur.org:taxname:257482	Amphimallon solstitiale
290310143	urn:lsid:faunaeur.org:taxname:55942	Rhopalomyzus poae
290309583	urn:lsid:faunaeur.org:taxname:453813	Ochetostethus opacus
290307822	urn:lsid:faunaeur.org:taxname:452257	Adelphocoris seticornis
290307330	urn:lsid:faunaeur.org:taxname:152441	Hyalesthes obsoletus
290308928	urn:lsid:faunaeur.org:taxname:243117	Longitarsus tabidus
290307354	urn:lsid:faunaeur.org:taxname:195652	Batracomorphus irroratus
290307422	urn:lsid:faunaeur.org:taxname:242802	Phyllotreta balcanica
290309630	urn:lsid:faunaeur.org:taxname:54851	Capitophorus similis
290307421	urn:lsid:faunaeur.org:taxname:242800	Phyllotreta atra
290307407	urn:lsid:faunaeur.org:taxname:195177	Zygina rubrovittata
290308538	urn:lsid:faunaeur.org:taxname:452966	Scolopostethus affinis
290308556	urn:lsid:faunaeur.org:taxname:452136	Grypocoris stysi
290309590	urn:lsid:faunaeur.org:taxname:453383	Geocoris arenarius
290308047	urn:lsid:faunaeur.org:taxname:54706	Aploneura lentisci
290308484	urn:lsid:faunaeur.org:taxname:447012	Phragmatobia fuliginosa
290310086	urn:lsid:faunaeur.org:taxname:55407	Liosomaphis berberidis
290309301	urn:lsid:faunaeur.org:taxname:442738	Udea ferrugalis
290311428	urn:lsid:faunaeur.org:taxname:454244	Eurydema ornata
290309812	urn:lsid:faunaeur.org:taxname:406617	Pegomya calyptrata
290311010	urn:lsid:faunaeur.org:taxname:193956	Streptanus sordidus
290307135	urn:lsid:faunaeur.org:taxname:89470	Chirothrips manicatus
290309651	urn:lsid:faunaeur.org:taxname:55665	Myzus cerasi
290307358	urn:lsid:faunaeur.org:taxname:194313	Cicadula persimilis
290310076	urn:lsid:faunaeur.org:taxname:54412	Anthracosiphon hertae
290307880	urn:lsid:faunaeur.org:taxname:451603	Halticus apterus
290310126	urn:lsid:faunaeur.org:taxname:55105	Diuraphis muehlei
290307819	urn:lsid:faunaeur.org:taxname:56127	Tetraneura ulmi
290309952	urn:lsid:faunaeur.org:taxname:54588	Aphis nasturtii
290308013	urn:lsid:faunaeur.org:taxname:89467	Chirothrips hamatus
290310058	urn:lsid:faunaeur.org:taxname:54835	Callipterinella tuberculata
290307403	urn:lsid:faunaeur.org:taxname:195263	Ribautiana scalaris
290310055	urn:lsid:faunaeur.org:taxname:54744	Betulaphis quadrituberculata
290307312	urn:lsid:faunaeur.org:taxname:55683	Myzus persicae
290309650	urn:lsid:faunaeur.org:taxname:55645	Myzocallis coryli
290307725	urn:lsid:faunaeur.org:taxname:89723	Odontothrips loti
290307133	urn:lsid:faunaeur.org:taxname:442796	Ostrinia nubilalis
290307163	urn:lsid:faunaeur.org:taxname:194481	Psammotettix alienus
290310068	urn:lsid:faunaeur.org:taxname:55835	Periphyllus hirticornis
290307400	urn:lsid:faunaeur.org:taxname:194554	Psammotettix striatus
290310052	urn:lsid:faunaeur.org:taxname:55390	Kaltenbachiella pallida
290307179	urn:lsid:faunaeur.org:taxname:90394	Haplothrips tritici
290307831	urn:lsid:faunaeur.org:taxname:454090	Peribalus strictus
290310152	urn:lsid:faunaeur.org:taxname:54862	Cavariella cicutae
290307399	urn:lsid:faunaeur.org:taxname:194509	Psammotettix helvolus
290308551	urn:lsid:faunaeur.org:taxname:452426	Dicyphus epilobii
290307183	urn:lsid:faunaeur.org:taxname:55984	Schizaphis graminum
290308568	urn:lsid:faunaeur.org:taxname:452301	Notostira elongata
290307343	urn:lsid:faunaeur.org:taxname:195810	Anaceratagallia ribauti
290311021	urn:lsid:faunaeur.org:taxname:194776	Arthaldeus pascuellus
290308136	urn:lsid:faunaeur.org:taxname:54789	Brachycaudus cardui
290310091	urn:lsid:faunaeur.org:taxname:55632	Myzaphis rosarum
290311164		Dasineura brassicae
290310095	urn:lsid:faunaeur.org:taxname:55931	Pterocomma salicis
290311101	urn:lsid:faunaeur.org:taxname:302391	Catocha latipes
290308558	urn:lsid:faunaeur.org:taxname:452310	Leptopterna dolabrata
290308092	urn:lsid:faunaeur.org:taxname:235406	Agriotes brevis
290309370	urn:lsid:faunaeur.org:taxname:56141	Thelaxes dryophila
290308205	urn:lsid:faunaeur.org:taxname:235425	Agriotes medvedevi
290309626	urn:lsid:faunaeur.org:taxname:54778	Brachycaudus rumexicolens
290307195	urn:lsid:faunaeur.org:taxname:235420	Agriotes lineatus
290307392	urn:lsid:faunaeur.org:taxname:193637	Neoaliturus fenestratus
290310166	urn:lsid:faunaeur.org:taxname:253761	Otiorhynchus ovatus
290309655	urn:lsid:faunaeur.org:taxname:56011	Semiaphis dauci
290310158	urn:lsid:faunaeur.org:taxname:431757	Pharmacis fusconebulosa
290310885	urn:lsid:faunaeur.org:taxname:89397	Aptinothrips stylifer
290308088	urn:lsid:faunaeur.org:taxname:257676	Melolontha melolontha
290309517	urn:lsid:faunaeur.org:taxname:305778	Lissorhoptrus oryzophilus
290307364	urn:lsid:faunaeur.org:taxname:194932	Emelyanoviana mollicula
290309666	urn:lsid:faunaeur.org:taxname:242819	Phyllotreta flexuosa
290310032	urn:lsid:faunaeur.org:taxname:55560	Melanaphis donacis
290307416	urn:lsid:faunaeur.org:taxname:243072	Longitarsus obliteratus
290307355	urn:lsid:faunaeur.org:taxname:195034	Chlorita paolii
290307418	urn:lsid:faunaeur.org:taxname:243089	Longitarsus pratensis
290310085	urn:lsid:faunaeur.org:taxname:55343	Hyperomyzus pallidus
290309864	urn:lsid:faunaeur.org:taxname:65709	Merodon equestris
290307769	urn:lsid:faunaeur.org:taxname:54859	Cavariella aegopodii
290311427	urn:lsid:faunaeur.org:taxname:257742	Anoxia villosa
290310069	urn:lsid:faunaeur.org:taxname:55844	Periphyllus testudinaceus
290309593	urn:lsid:faunaeur.org:taxname:453458	Nysius helveticus
290311087	urn:lsid:faunaeur.org:taxname:451373	Europiella artemisiae
290309260	urn:lsid:faunaeur.org:taxname:453297	Oxycarenus hyalinipennis
290309702	urn:lsid:faunaeur.org:taxname:243207	Chaetocnema breviuscula
290307759	urn:lsid:faunaeur.org:taxname:406347	Delia platura
290307393	urn:lsid:faunaeur.org:taxname:194880	Notus flavipennis
290307718	urn:lsid:faunaeur.org:taxname:90083	Thrips tabaci
290310056	urn:lsid:faunaeur.org:taxname:54831	Calaphis flava
290311436	urn:lsid:faunaeur.org:taxname:243421	Cassida prasina
290307377	urn:lsid:faunaeur.org:taxname:194232	Euscelis incisus
290310293	urn:lsid:faunaeur.org:taxname:446826	Hypena rostralis
290310135	urn:lsid:faunaeur.org:taxname:55580	Metopolophium albidum
290311269	urn:lsid:faunaeur.org:taxname:442328	Etiella zinckenella
290307559	urn:lsid:faunaeur.org:taxname:89569	Frankliniella occidentalis
290309300	urn:lsid:faunaeur.org:taxname:442829	Sitochroa palealis
290310103	urn:lsid:faunaeur.org:taxname:55677	Myzus certus
290310404	urn:lsid:faunaeur.org:taxname:406407	Emmesomyia socia
290307636	urn:lsid:faunaeur.org:taxname:194355	Artianus interstitialis
290309578	urn:lsid:faunaeur.org:taxname:453698	Camptopus lateralis
290310074	urn:lsid:faunaeur.org:taxname:56245	Tuberculatus borealis
290311041	urn:lsid:faunaeur.org:taxname:452135	Grypocoris sexguttatus
290309375	urn:lsid:faunaeur.org:taxname:56210	Toxoptera citricida
290308049	urn:lsid:faunaeur.org:taxname:55272	Forda formicaria
290310027	urn:lsid:faunaeur.org:taxname:56143	Thelaxes suberi
290307166	urn:lsid:faunaeur.org:taxname:452110	Lygus pratensis
290309653	urn:lsid:faunaeur.org:taxname:55861	Pleotrichophorus glandulosus
290307728	urn:lsid:faunaeur.org:taxname:89660	Limothrips denticornis
290310116	urn:lsid:faunaeur.org:taxname:54336	Acyrthosiphon malvae
290307829	urn:lsid:faunaeur.org:taxname:453725	Coreus marginatus
290310094	urn:lsid:faunaeur.org:taxname:55924	Pterocomma pilosum
290307902	urn:lsid:faunaeur.org:taxname:454059	Aelia acuminata
290309656	urn:lsid:faunaeur.org:taxname:56046	Sitobion fragariae
290307830	urn:lsid:faunaeur.org:taxname:454243	Eurydema oleracea
290309549	urn:lsid:faunaeur.org:taxname:54551	Aphis idaei
290307342	urn:lsid:faunaeur.org:taxname:195805	Anaceratagallia laevis
290308571	urn:lsid:faunaeur.org:taxname:451712	Orthotylus ericetorum
290307347	urn:lsid:faunaeur.org:taxname:194395	Allygidius mayri
290310044	urn:lsid:faunaeur.org:taxname:55188	Dysaphis ranunculi
290307983	urn:lsid:faunaeur.org:taxname:454095	Palomena viridissima
290310141	urn:lsid:faunaeur.org:taxname:55756	Ovatus crataegarius
290307818	urn:lsid:faunaeur.org:taxname:55208	Dysaphis plantaginea
290309273		Frankliniella tritici
290307338	urn:lsid:faunaeur.org:taxname:239390	Neophilaenus campestris
290310030	urn:lsid:faunaeur.org:taxname:55915	Pterocallis alni
290307387	urn:lsid:faunaeur.org:taxname:193714	Macrosteles sardus
290310107	urn:lsid:faunaeur.org:taxname:55900	Protaphis terricola
290307162	urn:lsid:faunaeur.org:taxname:195013	Empoasca pteridis
290311240	urn:lsid:faunaeur.org:taxname:452295	Stenodema virens
290308059	urn:lsid:faunaeur.org:taxname:95624	Tetranychus turkestani
290310118	urn:lsid:faunaeur.org:taxname:54754	Brachycaudus klugkisti
290307359	urn:lsid:faunaeur.org:taxname:194335	Cicadula placida
290307410	urn:lsid:faunaeur.org:taxname:243210	Chaetocnema concinna
290307767	urn:lsid:faunaeur.org:taxname:55670	Myzus ornatus
290309570	urn:lsid:faunaeur.org:taxname:454127	Carpocoris pudicus
290307176	urn:lsid:faunaeur.org:taxname:454109	Dolycoris baccarum
290310121	urn:lsid:faunaeur.org:taxname:54894	Chaetosiphon fragaefolii
290309310	urn:lsid:faunaeur.org:taxname:454153	Eysarcoris ventralis
290309645	urn:lsid:faunaeur.org:taxname:56303	Uroleucon tussilaginis
290307172	urn:lsid:faunaeur.org:taxname:452292	Stenodema laevigata
290309597	urn:lsid:faunaeur.org:taxname:453551	Piesma capitatum
290308141	urn:lsid:faunaeur.org:taxname:55319	Hyadaphis foeniculi
290309633	urn:lsid:faunaeur.org:taxname:55485	Macrosiphoniella tapuskae
290307344	urn:lsid:faunaeur.org:taxname:195812	Anaceratagallia venosa
290309269	urn:lsid:faunaeur.org:taxname:54491	Aphis craccivora
290307336	urn:lsid:faunaeur.org:taxname:153062	Kelisia ribauti
290310105	urn:lsid:faunaeur.org:taxname:54641	Aphis spiraecola
290307390	urn:lsid:faunaeur.org:taxname:194620	Mocuellus collinus
290308560	urn:lsid:faunaeur.org:taxname:452116	Lygocoris pabulinus
290307169	urn:lsid:faunaeur.org:taxname:452302	Notostira erratica
290310137	urn:lsid:faunaeur.org:taxname:54355	Acyrthosiphon primulae
290307631	urn:lsid:faunaeur.org:taxname:152558	Ribautodelphax albostriatus
290311007	urn:lsid:faunaeur.org:taxname:194497	Psammotettix confinis
290310449	urn:lsid:faunaeur.org:taxname:89390	Aptinothrips rufus
290310029	urn:lsid:faunaeur.org:taxname:56130	Tetraneura nigriabdominalis
290307719	urn:lsid:faunaeur.org:taxname:90030	Thrips major
290310066	urn:lsid:faunaeur.org:taxname:55387	Juncobia leegei
290307313	urn:lsid:faunaeur.org:taxname:55955	Rhopalosiphum insertum
290310089	urn:lsid:faunaeur.org:taxname:55448	Macrosiphoniella artemisiae
290308998	urn:lsid:faunaeur.org:taxname:454168	Rhaphigaster nebulosa
290310144	urn:lsid:faunaeur.org:taxname:56338	Utamphorophora humboldti
290308569	urn:lsid:faunaeur.org:taxname:451214	Orthonotus rufifrons
290310124	urn:lsid:faunaeur.org:taxname:55066	Cryptomyzus ballotae
290307823	urn:lsid:faunaeur.org:taxname:452182	Closterotomus norwegicus
290309862	urn:lsid:faunaeur.org:taxname:65374	Cheilosia vernalis
290310823	urn:lsid:faunaeur.org:taxname:302333	Campylomyza flavipes
290310060	urn:lsid:faunaeur.org:taxname:54924	Chaitophorus populialbae
290311106	urn:lsid:faunaeur.org:taxname:302073	Peromyia muscorum
290310020	urn:lsid:faunaeur.org:taxname:54521	Aphis frangulae
290310824	urn:lsid:faunaeur.org:taxname:302408	Lestremia cinerea
290310045	urn:lsid:faunaeur.org:taxname:55199	Dysaphis aucupariae
290309708	urn:lsid:faunaeur.org:taxname:303231	Haplodiplosis marginata
290309584	urn:lsid:faunaeur.org:taxname:453885	Thyreocoris scarabaeoides
290307859	urn:lsid:faunaeur.org:taxname:247148	Chaetopteroplia segetum
290310042	urn:lsid:faunaeur.org:taxname:54777	Brachycaudus amygdalinus
290308093	urn:lsid:faunaeur.org:taxname:235427	Agriotes modestus
290309369	urn:lsid:faunaeur.org:taxname:56394	Phylloxera quercus
290308090	urn:lsid:faunaeur.org:taxname:257633	Polyphylla fullo
290307593	urn:lsid:faunaeur.org:taxname:55326	Hyalopterus amygdali
290308094	urn:lsid:faunaeur.org:taxname:235421	Agriotes litigiosus
290310098	urn:lsid:faunaeur.org:taxname:56066	Staegeriella necopinata
290308085	urn:lsid:faunaeur.org:taxname:247189	Anisoplia lata
290310451	n:lsid:faunaeur.org:taxname:90063	Thrips physapus
290309274	urn:lsid:faunaeur.org:taxname:406303	Delia floralis
290310061	urn:lsid:faunaeur.org:taxname:54933	Chaitophorus salicti
290308113	urn:lsid:faunaeur.org:taxname:453798	Tritomegas sexmaculatus
290307827	urn:lsid:faunaeur.org:taxname:451729	Orthotylus flavosparsus
290308933	urn:lsid:faunaeur.org:taxname:253697	Otiorhynchus raucus
290310809		Rhopalosiphum latysiphon
290307331	urn:lsid:faunaeur.org:taxname:152397	Pentastiridius leporinus
290307352	urn:lsid:faunaeur.org:taxname:194781	Arthaldeus striifrons
290309051	urn:lsid:faunaeur.org:taxname:406269	Delia antiqua
290309598	urn:lsid:faunaeur.org:taxname:453630	Brachycarenus tigrinus
290308096	urn:lsid:faunaeur.org:taxname:235439	Agriotes sordidus
290311528	urn:lsid:faunaeur.org:taxname:239422	Cercopis vulnerata
290307849	urn:lsid:faunaeur.org:taxname:235444	Agriotes ustulatus
290308873	urn:lsid:faunaeur.org:taxname:242797	Phyllotreta armoraciae
290311008	urn:lsid:faunaeur.org:taxname:153028	Stenocranus minutus
290310161	urn:lsid:faunaeur.org:taxname:243049	Longitarsus luridus
290311023	urn:lsid:faunaeur.org:taxname:193950	Streptanus marginatus
290310013	urn:lsid:faunaeur.org:taxname:243143	Epitrix cucumeris
290307724	urn:lsid:faunaeur.org:taxname:89748	Oxythrips bicolor
290307417	urn:lsid:faunaeur.org:taxname:243079	Longitarsus parvulus
290310040	urn:lsid:faunaeur.org:taxname:55325	Hyalopteroides humilis
290311579	urn:lsid:faunaeur.org:taxname:257377	Holochelus caucasicus
290307729	urn:lsid:faunaeur.org:taxname:89357	Anaphothrips obscurus
290311006	urn:lsid:faunaeur.org:taxname:192267	Onthophagus ovatus
290310106	urn:lsid:faunaeur.org:taxname:55148	Dysaphis crataegi
290311580		Rhizotrogus aequinoctialis
290307723	urn:lsid:faunaeur.org:taxname:89892	Stenothrips graminum
290307413	urn:lsid:faunaeur.org:taxname:243149	Epitrix pubescens
290310050	urn:lsid:faunaeur.org:taxname:55236	Eriosoma lanuginosum
290307427	urn:lsid:faunaeur.org:taxname:242843	Phyllotreta procera
290307385	urn:lsid:faunaeur.org:taxname:193696	Macrosteles laevis
290307200	urn:lsid:faunaeur.org:taxname:448502	Agrotis ipsilon
290309654	urn:lsid:faunaeur.org:taxname:55944	Rhopalosiphoninus staphyleae
290309861	urn:lsid:faunaeur.org:taxname:65330	Cheilosia pagana
290307168	urn:lsid:faunaeur.org:taxname:452112	Lygus rugulipennis
290309042	urn:lsid:faunaeur.org:taxname:377385	Meligethes denticulatus
290309581	urn:lsid:faunaeur.org:taxname:453707	Syromastus rhombeus
290309594	urn:lsid:faunaeur.org:taxname:451932	Polymerus cognatus
290307633	urn:lsid:faunaeur.org:taxname:195574	Anoscopus albifrons
290309595	urn:lsid:faunaeur.org:taxname:450955	Systellonotus triguttatus
290309271	urn:lsid:faunaeur.org:taxname:195054	Asymmetrasca decedens
290309677	urn:lsid:faunaeur.org:taxname:453463	Nysius thymi
290308579	urn:lsid:faunaeur.org:taxname:452291	Stenodema holsata
290307828	urn:lsid:faunaeur.org:taxname:453461	Nysius senecionis
290310785	urn:lsid:faunaeur.org:taxname:246388	Catapion seniculus
290308532	urn:lsid:faunaeur.org:taxname:453431	Cymus claviculus
290308250	urn:lsid:faunaeur.org:taxname:152810	Falcotoya minuscula
290308540	urn:lsid:faunaeur.org:taxname:452977	Scolopostethus thomsoni
290310433	urn:lsid:faunaeur.org:taxname:65300	Cheilosia impressa
290309615	urn:lsid:faunaeur.org:taxname:55808	Pemphigus fuscicornis
290310043	urn:lsid:faunaeur.org:taxname:55126	Dysaphis microsiphon
290310264	urn:lsid:faunaeur.org:taxname:241204	Cryptocephalus fulvus
290309652	urn:lsid:faunaeur.org:taxname:55854	Phyllaphis fagi
290311285	urn:lsid:faunaeur.org:taxname:241316	Cryptocephalus hypochaeridis
290307335	urn:lsid:faunaeur.org:taxname:152751	Javesella pellucida
290311287	urn:lsid:faunaeur.org:taxname:243044	Longitarsus lewisii
290310075	urn:lsid:faunaeur.org:taxname:56241	Tuberculatus querceus
290308481	urn:lsid:faunaeur.org:taxname:447075	Orgyia antiqua
290311022	urn:lsid:faunaeur.org:taxname:194721	Errastunus ocellaris
290308477	urn:lsid:faunaeur.org:taxname:446820	Rivula sericealis
290309665	urn:lsid:faunaeur.org:taxname:243219	Chaetocnema mannerheimii
290309299	urn:lsid:faunaeur.org:taxname:442852	Pyrausta aurata
290307398	urn:lsid:faunaeur.org:taxname:195720	Populicerus populi
290308504	urn:lsid:faunaeur.org:taxname:442797	Ostrinia scapulalis
290310807	urn:lsid:faunaeur.org:taxname:55672	Myzus varians
290308079	urn:lsid:faunaeur.org:taxname:442897	Loxostege sticticalis
290307375	urn:lsid:faunaeur.org:taxname:195381	Eupteryx thoulessi
290310405	urn:lsid:faunaeur.org:taxname:406442	Eutrichota praepotens
290309272	urn:lsid:faunaeur.org:taxname:54175	Bemisia tabaci
290310407	urn:lsid:faunaeur.org:taxname:406732	Pegoplata debilis
290311268	urn:lsid:faunaeur.org:taxname:54327	Acyrthosiphon gossypii
290309809	urn:lsid:faunaeur.org:taxname:406498	Hylemyza partita
290310101	urn:lsid:faunaeur.org:taxname:56224	Trama troglodytes
290311433	urn:lsid:faunaeur.org:taxname:103047	Byturus tomentosus
290307637	urn:lsid:faunaeur.org:taxname:194518	Psammotettix kolosvarensis
290309805	urn:lsid:faunaeur.org:taxname:406430	Eutrichota inornata
290308854	urn:lsid:faunaeur.org:taxname:242698	Psylliodes chrysocephalus
290307825	urn:lsid:faunaeur.org:taxname:451943	Polymerus nigrita
290310100	urn:lsid:faunaeur.org:taxname:56349	Wahlgreniella arbuti
290307405	urn:lsid:faunaeur.org:taxname:195140	Zygina angusta
290311012	urn:lsid:faunaeur.org:taxname:194544	Psammotettix provincialis
290308142	urn:lsid:faunaeur.org:taxname:55339	Hyperomyzus lactucae
290310146	urn:lsid:faunaeur.org:taxname:55346	Hyperomyzus picridis
290307339	urn:lsid:faunaeur.org:taxname:239396	Neophilaenus lineatus
290310110	urn:lsid:faunaeur.org:taxname:54720	Atheroides serrulatus
290307592	urn:lsid:faunaeur.org:taxname:54534	Aphis gossypii
290308573	urn:lsid:faunaeur.org:taxname:451782	Orthotylus virescens
290307136	urn:lsid:faunaeur.org:taxname:89605	Frankliniella tenuicornis
290310151	urn:lsid:faunaeur.org:taxname:452113	Lygus wagneri
290307350	urn:lsid:faunaeur.org:taxname:195101	Arboridia parvula
290308547	urn:lsid:faunaeur.org:taxname:452234	Apolygus spinolae
290307309	urn:lsid:faunaeur.org:taxname:54821	Brevicoryne brassicae
290309550	urn:lsid:faunaeur.org:taxname:54651	Aphis taraxacicola
290307345	urn:lsid:faunaeur.org:taxname:194862	Alebra albostriella
290310104	urn:lsid:faunaeur.org:taxname:54625	Aphis rumicis
290310450	urn:lsid:faunaeur.org:taxname:89583	Frankliniella pallida
290310035	urn:lsid:faunaeur.org:taxname:54609	Aphis pomi
290307366		Empoasca solani
290310063	urn:lsid:faunaeur.org:taxname:55122	Drepanosiphum dixoni
290307722	urn:lsid:faunaeur.org:taxname:89951	Thrips atratus
290309649	urn:lsid:faunaeur.org:taxname:55060	Cryptaphis poae
290307353	urn:lsid:faunaeur.org:taxname:193762	Balclutha punctata
290310129	urn:lsid:faunaeur.org:taxname:55471	Macrosiphoniella sanborni
290307340	urn:lsid:faunaeur.org:taxname:239414	Philaenus spumarius
290310140	urn:lsid:faunaeur.org:taxname:55682	Myzus myosotidis
290307374	urn:lsid:faunaeur.org:taxname:195376	Eupteryx stachydearum
290310112	urn:lsid:faunaeur.org:taxname:55275	Forda marginata
290307351	urn:lsid:faunaeur.org:taxname:194787	Arocephalus languidus
290307583	urn:lsid:faunaeur.org:taxname:447625	Sesamia nonagrioides
290307341	urn:lsid:faunaeur.org:taxname:239575	Stictocephala bisonia
290310088	urn:lsid:faunaeur.org:taxname:55427	Longicaudus trirhodus
290309676	urn:lsid:faunaeur.org:taxname:452195	Charagochilus gyllenhalii
290310049	urn:lsid:faunaeur.org:taxname:54334	Acyrthosiphon loti
290307820	urn:lsid:faunaeur.org:taxname:452271	Trigonotylus pulchellus
290310119	urn:lsid:faunaeur.org:taxname:54797	Brachycaudus persicae
290307180	urn:lsid:faunaeur.org:taxname:89561	Frankliniella intonsa
290310021	urn:lsid:faunaeur.org:taxname:55671	Myzus padellus
290307868	urn:lsid:faunaeur.org:taxname:195563	Aphrodes bicinctus
290310053	urn:lsid:faunaeur.org:taxname:56139	Thecabius affinis
290307182	urn:lsid:faunaeur.org:taxname:55956	Rhopalosiphum maidis
290310136	urn:lsid:faunaeur.org:taxname:55587	Metopolophium frisicum
290307404	urn:lsid:faunaeur.org:taxname:193941	Streptanus aemulans
290309641	urn:lsid:faunaeur.org:taxname:56351	Wahlgreniella nervata
290307386	urn:lsid:faunaeur.org:taxname:193708	Macrosteles quadripunctulatus
290310080	urn:lsid:faunaeur.org:taxname:54876	Ceruraphis eriophori
290308111	urn:lsid:faunaeur.org:taxname:54370	Ammiaphis sii
290310155	urn:lsid:faunaeur.org:taxname:55032	Coloradoa absinthii
290307397	urn:lsid:faunaeur.org:taxname:194048	Platymetopius rostratus
290310031	urn:lsid:faunaeur.org:taxname:54981	Cinara maghrebica
290307832	urn:lsid:faunaeur.org:taxname:453929	Eurygaster maura
290308251	urn:lsid:faunaeur.org:taxname:193651	Circulifer haematoceps
290311309	urn:lsid:faunaeur.org:taxname:55374	Israelaphis lambersi
290310038	urn:lsid:faunaeur.org:taxname:56280	Uroleucon hypochoeridis
290307408	urn:lsid:faunaeur.org:taxname:195130	Zyginidia pullula
290309637	urn:lsid:faunaeur.org:taxname:55758	Ovatus insitus
290307401	urn:lsid:faunaeur.org:taxname:193776	Recilia schmidtgeni
290310134	urn:lsid:faunaeur.org:taxname:55556	Megourella purpurea
290307173	urn:lsid:faunaeur.org:taxname:452265	Trigonotylus caelestialium
290309257	urn:lsid:faunaeur.org:taxname:89944	Thrips angusticeps
290309648	urn:lsid:faunaeur.org:taxname:54867	Cavariella theobaldi
290309824	urn:lsid:faunaeur.org:taxname:243225	Chaetocnema picipes
290307406	urn:lsid:faunaeur.org:taxname:195144	Zygina flammigera
290309647	urn:lsid:faunaeur.org:taxname:54853	Caricosipha paniculatae
290311075	urn:lsid:faunaeur.org:taxname:194191	Hardya anatolica
290307594	urn:lsid:faunaeur.org:taxname:56031	Sipha maydis
290307363	urn:lsid:faunaeur.org:taxname:195415	Edwardsiana flavescens
290310254	urn:lsid:faunaeur.org:taxname:95518	Bryobia rubrioculus
290308536	urn:lsid:faunaeur.org:taxname:453419	Ischnodemus sabuleti
290309373	urn:lsid:faunaeur.org:taxname:55969	Saltusaphis scirpus
